c1,c2,Z
4.5,4.75,7.3
4.75,1.0,3.0
4.75,1.25,10.2
4.75,1.5,17.6
4.75,1.75,8.8
4.75,2.0,9.5
4.75,2.25,10.9
4.75,2.5,12.1
4.75,2.75,9.9
4.75,3.0,7.0
4.75,3.25,9.6
4.75,3.5,17.1
4.75,3.75,16.3
4.75,4.0,8.5
4.75,4.25,8.2
4.75,4.5,10.8
4.75,4.75,4.7
